Calificaciones_ID,Inscripcion_ID,Evaluacion_N°1,Evaluacion_N°2,Recuperatorio_N°1,Recuperatorio_N°2,Practica_integradora,,,,,
84.00,84.00,9.00,5.00,0.00,4.00,1.00,,,,,
85.00,85.00,3.00,8.00,5.00,0.00,0.00,,,,,
86.00,86.00,5.00,5.00,6.00,4.00,1.00,,,,,
87.00,87.00,6.00,8.00,10.00,0.00,0.00,,,,,
88.00,88.00,9.00,5.00,0.00,4.00,0.00,,,,,
89.00,89.00,3.00,7.00,9.00,0.00,0.00,,,,,
90.00,90.00,3.00,10.00,9.00,0.00,1.00,,,,,
91.00,91.00,10.00,5.00,0.00,7.00,1.00,,,,,
92.00,92.00,3.00,5.00,7.00,7.00,0.00,,,,,
93.00,93.00,3.00,4.00,10.00,7.00,1.00,,,,,
94.00,94.00,9.00,7.00,0.00,0.00,1.00,,,,,
95.00,95.00,3.00,6.00,5.00,5.00,1.00,,,,,
96.00,96.00,4.00,10.00,10.00,0.00,1.00,,,,,
97.00,97.00,3.00,8.00,5.00,0.00,1.00,,,,,
98.00,98.00,3.00,8.00,8.00,0.00,0.00,,,,,
99.00,99.00,7.00,9.00,0.00,0.00,0.00,,,,,
100.00,100.00,5.00,8.00,5.00,0.00,0.00,,,,,
101.00,101.00,4.00,7.00,9.00,0.00,0.00,,,,,
102.00,102.00,4.00,10.00,7.00,0.00,1.00,,,,,
103.00,103.00,4.00,8.00,10.00,0.00,0.00,,,,,
104.00,104.00,5.00,4.00,8.00,4.00,0.00,,,,,
105.00,105.00,9.00,4.00,0.00,8.00,1.00,,,,,
106.00,106.00,5.00,8.00,7.00,0.00,1.00,,,,,
107.00,107.00,9.00,7.00,0.00,0.00,0.00,,,,,
108.00,108.00,9.00,10.00,0.00,0.00,0.00,,,,,
109.00,109.00,8.00,7.00,0.00,0.00,0.00,,,,,
110.00,110.00,3.00,7.00,7.00,0.00,0.00,,,,,
111.00,111.00,7.00,8.00,0.00,0.00,0.00,,,,,
112.00,112.00,8.00,9.00,0.00,0.00,1.00,,,,,
113.00,113.00,5.00,10.00,5.00,0.00,1.00,,,,,
114.00,114.00,3.00,8.00,5.00,0.00,0.00,,,,,
115.00,115.00,3.00,8.00,10.00,0.00,0.00,,,,,
116.00,116.00,3.00,5.00,5.00,7.00,0.00,,,,,
117.00,117.00,7.00,6.00,0.00,3.00,0.00,,,,,
118.00,118.00,8.00,10.00,0.00,0.00,1.00,,,,,
119.00,119.00,8.00,4.00,0.00,3.00,1.00,,,,,
120.00,120.00,5.00,8.00,5.00,0.00,1.00,,,,,
121.00,121.00,6.00,9.00,8.00,0.00,0.00,,,,,
122.00,122.00,3.00,8.00,8.00,0.00,0.00,,,,,
123.00,123.00,4.00,8.00,5.00,0.00,1.00,,,,,
124.00,124.00,9.00,7.00,0.00,0.00,1.00,,,,,
125.00,125.00,9.00,9.00,0.00,0.00,1.00,,,,,
126.00,126.00,5.00,10.00,10.00,0.00,1.00,,,,,
127.00,127.00,10.00,5.00,0.00,6.00,1.00,,,,,
128.00,128.00,9.00,9.00,0.00,0.00,1.00,,,,,
129.00,129.00,5.00,7.00,7.00,0.00,1.00,,,,,
130.00,130.00,6.00,8.00,9.00,0.00,0.00,,,,,
131.00,131.00,10.00,6.00,0.00,3.00,0.00,,,,,
132.00,132.00,2.00,10.00,8.00,0.00,1.00,,,,,
133.00,133.00,9.00,5.00,6.00,8.00,0.00,,,,,
134.00,134.00,7.00,6.00,0.00,6.00,0.00,,,,,
135.00,135.00,9.00,10.00,0.00,0.00,1.00,,,,,
136.00,136.00,6.00,10.00,10.00,0.00,0.00,,,,,
137.00,137.00,9.00,8.00,0.00,0.00,0.00,,,,,
138.00,138.00,7.00,4.00,0.00,3.00,0.00,,,,,
139.00,139.00,9.00,6.00,0.00,6.00,1.00,,,,,
140.00,140.00,9.00,8.00,0.00,0.00,1.00,,,,,
141.00,141.00,9.00,10.00,7.00,0.00,0.00,,,,,
142.00,142.00,2.00,9.00,6.00,0.00,0.00,,,,,
143.00,143.00,10.00,9.00,0.00,0.00,1.00,,,,,
144.00,144.00,10.00,10.00,0.00,0.00,1.00,,,,,
145.00,145.00,4.00,10.00,5.00,0.00,0.00,,,,,
146.00,146.00,10.00,8.00,0.00,0.00,1.00,,,,,
147.00,147.00,7.00,8.00,0.00,0.00,0.00,,,,,
148.00,148.00,3.00,8.00,5.00,0.00,1.00,,,,,
149.00,149.00,4.00,4.00,6.00,4.00,0.00,,,,,
150.00,150.00,7.00,6.00,0.00,5.00,1.00,,,,,
151.00,151.00,6.00,4.00,10.00,4.00,1.00,,,,,
152.00,152.00,9.00,10.00,0.00,0.00,1.00,,,,,
153.00,153.00,8.00,8.00,0.00,0.00,1.00,,,,,
154.00,154.00,9.00,5.00,0.00,8.00,0.00,,,,,
155.00,155.00,3.00,9.00,0.00,0.00,1.00,,,,,
156.00,156.00,9.00,7.00,0.00,0.00,0.00,,,,,
157.00,157.00,8.00,8.00,0.00,0.00,1.00,,,,,
158.00,158.00,7.00,9.00,0.00,0.00,1.00,,,,,
159.00,159.00,8.00,7.00,0.00,0.00,1.00,,,,,
160.00,160.00,2.00,8.00,9.00,0.00,0.00,,,,,
